,FR [EUR/EURavg],,,DE  [EUR/EURavg],,,IT  [EUR/EURavg],,,FR-real [EUR/MWh],,,DE-real [EUR/MWh],,,IT-real [EUR/MWh],,
1591,0.85699,1.10297,1.11241,0.49259,1.24195,1.45107,0.84935,0.94779,0.90836,32.81,40.42,50.02,15.58,35.97,49.61,45,40.42,50.02
1592,0.87318,1.29835,1.11508,0.49228,1.30479,1.46043,1.09736,1.11568,0.94813,33.43,47.58,50.14,15.57,37.79,49.93,58.14,47.58,52.21
1593,0.84732,1.24978,1.12531,0.67724,1.14182,1.27060,1.25383,1.07395,0.91889,32.44,45.8,50.6,21.42,33.07,43.44,66.43,45.8,50.6
1594,0.62740,1.17338,1.14577,0.63392,1.10418,1.19923,1.50996,1.00829,0.93560,24.02,43,51.52,20.05,31.98,41,80,43,51.52
1595,0.57098,1.11389,1.09017,0.69115,1.03444,1.11441,1.45711,0.95717,0.89020,21.86,40.82,49.02,21.86,29.96,38.1,77.2,40.82,49.02
1596,0.63262,0.93815,1.00211,0.63329,0.96607,0.99917,1.24553,0.86760,0.81829,24.22,34.38,45.06,20.03,27.98,34.16,65.99,37,45.06
1597,0.49001,0.81536,0.98142,0.47078,0.94743,0.98425,1.09189,0.91121,0.80140,18.76,29.88,44.13,14.89,27.44,33.65,57.85,38.86,44.13
1598,0.38840,0.75642,0.95140,0.47014,0.95710,1.02403,0.94316,0.96139,0.84444,14.87,27.72,42.78,14.87,27.72,35.01,49.97,41,46.5
1599,0.33642,0.73950,0.87134,0.40723,0.93569,0.98571,1.00903,0.96139,0.88984,12.88,27.1,39.18,12.88,27.1,33.7,53.46,41,49
1600,0.35131,0.82054,0.75681,0.49101,1.03824,0.99536,1.09189,0.96890,0.93578,13.45,30.07,34.03,15.53,30.07,34.03,57.85,41.32,51.53
1601,0.53337,0.94197,0.94273,0.82267,1.17289,1.04538,1.03414,1.03361,0.93778,20.42,34.52,42.39,26.02,33.97,35.74,54.79,44.08,51.64
1602,0.94371,1.31773,1.09484,1.14232,1.66732,1.22994,1.29441,1.13233,1.05963,36.13,48.29,49.23,36.13,48.29,42.05,68.58,48.29,58.35
1603,1.15371,1.36439,1.24496,1.39652,1.61070,1.22848,1.33934,1.17243,1.06218,44.17,50,55.98,44.17,46.65,42,70.96,50,58.49
1604,1.11897,0.97008,1.11664,1.23117,1.03686,0.99887,1.20042,1.02212,0.99626,42.84,35.55,50.21,38.94,30.03,34.15,63.6,43.59,54.86
1605,0.99438,0.87321,1.04214,1.02091,0.96504,0.93160,1.02243,0.91426,0.90945,38.07,32,46.86,32.29,27.95,31.85,54.17,38.99,50.08
1606,1.08371,0.84729,1.01167,1.24982,0.93086,0.94008,0.93335,0.86760,0.84335,41.49,31.05,45.49,39.53,26.96,32.14,49.45,37,46.44
1607,1.07613,0.71003,0.91626,1.14738,0.84488,0.84736,0.90541,0.78858,0.74819,41.2,26.02,41.2,36.29,24.47,28.97,47.97,33.63,41.2
1608,0.97949,0.61097,0.73879,0.82078,0.77307,0.89679,0.79273,0.84110,0.73076,37.5,22.39,33.22,25.96,22.39,30.66,42,35.87,40.24
1609,0.91419,0.62516,0.68364,0.84481,0.79102,0.89387,0.77386,0.74778,0.66211,35,22.91,30.74,26.72,22.91,30.56,41,31.89,36.46
1610,0.86221,0.62243,0.67541,0.84670,0.78757,0.87105,0.76159,0.73933,0.55152,33.01,22.81,30.37,26.78,22.81,29.78,40.35,31.53,30.37
1611,0.74520,0.60033,0.65161,0.81192,0.75960,0.85701,0.69609,0.73933,0.54480,28.53,22,29.3,25.68,22,29.3,36.88,31.53,30
1612,0.72691,0.59133,0.65117,0.84259,0.74821,0.85643,0.69817,0.74402,0.54807,27.83,21.67,29.28,26.65,21.67,29.28,36.99,31.73,30.18
1613,0.88285,0.61943,0.69209,0.94693,0.78377,0.91025,0.73856,0.80827,0.72131,33.8,22.7,31.12,29.95,22.7,31.12,39.13,34.47,39.72
1614,1.14587,0.74878,0.92494,1.35858,0.94743,1.21649,0.84803,0.94592,0.88276,43.87,27.44,41.59,42.97,27.44,41.59,44.93,40.34,48.61
1615,1.31435,1.02957,1.08239,1.59097,1.30272,1.42358,1.00054,1.04135,0.88385,50.32,37.73,48.67,50.32,37.73,48.67,53.01,44.41,48.67
1616,1.47968,1.18238,1.11241,1.79110,1.34933,1.46306,1.11567,1.12061,0.90836,56.65,43.33,50.02,56.65,39.08,50.02,59.11,47.79,50.02
1617,1.44442,1.20503,1.09017,1.38957,1.20777,1.43381,1.04376,1.07301,0.89020,55.3,44.16,49.02,43.95,34.98,49.02,55.3,45.76,49.02
1618,1.34282,1.02820,1.08128,1.26405,0.98783,1.42211,0.97034,1.02588,0.88294,51.41,37.68,48.62,39.98,28.61,48.62,51.41,43.75,48.62
1619,1.30599,0.94443,1.04881,1.18500,0.87768,1.37941,0.94373,1.00829,0.85642,50,34.61,47.16,37.48,25.42,47.16,50,43,47.16
1620,1.17565,0.81863,0.97853,0.99783,0.86664,1.28172,0.84954,0.86760,0.79904,45.01,30,44,31.56,25.1,43.82,45.01,37,44
1621,1.16572,0.98263,0.93450,1.10596,0.85075,1.22409,0.84237,0.86783,0.76308,44.63,36.01,42.02,34.98,24.64,41.85,44.63,37.01,42.02
1622,1.08397,0.88358,0.91337,1.11292,0.85662,1.11412,0.86728,0.96233,0.82955,41.5,32.38,41.07,35.2,24.81,38.09,45.95,41.04,45.68
1623,1.02938,0.88522,0.82041,1.24603,0.86629,1.07317,0.94373,0.96256,0.84535,39.41,32.44,36.89,39.41,25.09,36.69,50,41.05,46.55
1624,1.04479,0.76188,0.78505,1.26468,0.96400,1.03251,0.99016,0.96890,0.90800,40,27.92,35.3,40,27.92,35.3,52.46,41.32,50
1625,1.18479,0.90323,0.95118,1.43415,1.14285,1.21298,1.03659,1.02869,0.94632,45.36,33.1,42.77,45.36,33.1,41.47,54.92,43.87,52.11
1626,1.54133,1.22604,1.10774,1.86572,1.55131,1.31097,1.21005,1.08544,0.99880,59.01,44.93,49.81,59.01,44.93,44.82,64.11,46.29,55
1627,1.72312,1.38076,1.18958,2.08577,1.40112,1.25305,1.30234,1.18650,1.01024,65.97,50.6,53.49,65.97,40.58,42.84,69,50.6,55.63
1628,1.30625,1.09915,1.17179,1.58117,1.10280,0.97518,1.09416,0.97734,0.96448,50.01,40.28,52.69,50.01,31.94,33.34,57.97,41.68,53.11
1629,1.10931,0.76870,1.09484,1.25614,0.86560,0.96582,0.98959,0.90816,0.95540,42.47,28.17,49.23,39.73,25.07,33.02,52.43,38.73,52.61
1630,1.19524,0.82464,1.03613,1.07245,0.93914,0.92165,0.97204,0.91450,0.94632,45.76,30.22,46.59,33.92,27.2,31.51,51.5,39,52.11
1631,1.19080,0.76979,1.03613,0.82425,0.78066,0.84297,0.92485,0.84415,0.84607,45.59,28.21,46.59,26.07,22.61,28.82,49,36,46.59
1632,1.11166,0.64945,0.93405,0.94598,0.82175,0.60898,0.84916,0.76630,0.81720,42.56,23.8,42,29.92,23.8,20.82,44.99,32.68,45
1633,0.98759,0.65764,0.78260,0.89824,0.76064,0.53176,0.84803,0.74520,0.76072,37.81,24.1,35.19,28.41,22.03,18.18,44.93,31.78,41.89
1634,1.00587,0.57141,0.68186,0.87737,0.72300,0.35129,0.81670,0.72691,0.73076,38.51,20.94,30.66,27.75,20.94,12.01,43.27,31,40.24
1635,0.97610,0.54794,0.68141,0.88749,0.69331,0.52912,0.84803,0.71495,0.73076,37.37,20.08,30.64,28.07,20.08,18.09,44.93,30.49,40.24
1636,0.89591,0.54603,0.61781,0.96052,0.69089,0.78857,0.84218,0.70346,0.73076,34.3,20.01,27.78,30.38,20.01,26.96,44.62,30,40.24
1637,1.07535,0.57686,0.69298,0.99910,0.72991,0.83625,0.85520,0.75645,0.76653,41.17,21.14,31.16,31.6,21.14,28.59,45.31,32.26,42.21
1638,1.25270,0.68083,0.89669,1.39968,0.86146,0.93306,1.04093,0.89902,0.88276,47.96,24.95,40.32,44.27,24.95,31.9,55.15,38.34,48.61
1639,1.42222,0.87103,1.10285,1.54892,1.10211,1.22790,1.02772,0.91450,0.96248,54.45,31.92,49.59,48.99,31.92,41.98,54.45,39,53
1640,1.47368,1.08933,1.12754,1.35668,1.03271,1.22643,1.12379,1.01767,1.05528,56.42,39.92,50.7,42.91,29.91,41.93,59.54,43.4,58.11
1641,1.40994,0.95016,1.11708,1.14548,0.86422,1.08106,1.01885,1.03197,0.92616,53.98,34.82,50.23,36.23,25.03,36.96,53.98,44.01,51
1642,1.34334,0.78234,1.10107,1.03862,0.80898,0.96582,0.97072,0.94287,0.89910,51.43,28.67,49.51,32.85,23.43,33.02,51.43,40.21,49.51
1643,1.30677,0.66882,1.03369,1.02882,0.82348,0.93862,0.94429,0.89433,0.84408,50.03,24.51,46.48,32.54,23.85,32.09,50.03,38.14,46.48
1644,1.22763,0.63799,0.92582,0.97728,0.76927,0.92165,0.88710,0.82070,0.75600,47,23.38,41.63,30.91,22.28,31.51,47,35,41.63
1645,1.18453,0.64672,0.86911,1.04463,0.75822,0.91580,0.85596,0.82070,0.72458,45.35,23.7,39.08,33.04,21.96,31.31,45.35,35,39.9
1646,1.25244,0.62680,0.80217,1.03261,0.77617,0.91434,0.90598,0.86760,0.76163,47.95,22.97,36.07,32.66,22.48,31.26,48,37,41.94
1647,1.08423,0.67019,0.78994,1.16793,0.79585,0.93920,0.94373,0.88917,0.83463,41.51,24.56,35.52,36.94,23.05,32.11,50,37.92,45.96
1648,1.04636,0.67756,0.80217,1.26658,0.85731,1.05503,1.03810,0.90465,0.85370,40.06,24.83,36.07,40.06,24.83,36.07,55,38.58,47.01
1649,1.17382,0.90050,0.89780,1.42087,1.13940,1.18081,1.09831,0.95811,0.90891,44.94,33,40.37,44.94,33,40.37,58.19,40.86,50.05
1650,1.49849,1.05795,1.09351,1.81387,1.33862,1.43820,1.32103,1.08825,1.02568,57.37,38.77,49.17,57.37,38.77,49.17,69.99,46.41,56.48
1651,1.70249,1.38567,1.19114,2.06080,1.31169,1.56661,1.35915,1.19072,1.04093,65.18,50.78,53.56,65.18,37.99,53.56,72.01,50.78,57.32
1652,1.33159,0.81345,1.02034,1.61183,1.02926,1.34197,1.22666,0.94826,0.96448,50.98,29.81,45.88,50.98,29.81,45.88,64.99,40.44,53.11
1653,1.27804,0.70403,0.88224,1.26436,0.89080,1.16033,1.09397,0.89808,0.87168,48.93,25.8,39.67,39.99,25.8,39.67,57.96,38.3,48
1654,1.27229,0.75069,0.83865,1.07340,0.94985,1.10300,1.01922,0.84438,0.79904,48.71,27.51,37.71,33.95,27.51,37.71,54,36.01,44
1655,1.27334,0.70703,0.76170,0.93397,0.80828,1.00180,0.97109,0.79936,0.72640,48.75,25.91,34.25,29.54,23.41,34.25,51.45,34.09,40
1656,1.09755,0.93324,0.73434,0.85429,0.68088,0.96582,0.93731,0.80194,0.59964,42.02,34.2,33.02,27.02,19.72,33.02,49.66,34.2,33.02
1657,0.98445,0.75614,0.70121,0.88275,0.69642,0.91376,0.81821,0.74660,0.57258,37.69,27.71,31.53,27.92,20.17,31.24,43.35,31.84,31.53
1658,1.01501,0.76269,0.67007,0.85176,0.69193,0.88129,0.77386,0.71495,0.54716,38.86,27.95,30.13,26.94,20.04,30.13,41,30.49,30.13
1659,0.92803,0.68711,0.65917,0.85271,0.69607,0.86696,0.75215,0.70346,0.53826,35.53,25.18,29.64,26.97,20.16,29.64,39.85,30,29.64
1660,0.91158,0.67019,0.64650,0.86314,0.72300,0.85029,0.75215,0.72691,0.52791,34.9,24.56,29.07,27.3,20.94,29.07,39.85,31,29.07
1661,0.97949,0.69420,0.66718,0.91689,0.74579,0.87749,0.84803,0.77591,0.54480,37.5,25.44,30,29,21.6,30,44.93,33.09,30
1662,1.20046,0.77716,0.70654,1.26247,0.98334,0.92926,1.01451,0.92786,0.57694,45.96,28.48,31.77,39.93,28.48,31.77,53.75,39.57,31.77
1663,1.37599,0.96708,0.72056,1.42276,1.22365,0.94769,1.03904,0.98578,0.62289,52.68,35.44,32.4,45,35.44,32.4,55.05,42.04,34.3
1664,1.47864,1.23041,0.77838,1.26278,1.10453,1.02374,1.20778,1.13937,0.63560,56.61,45.09,35,39.94,31.99,35,63.99,48.59,35
1665,1.51756,1.20094,0.77949,0.96495,1.03824,1.02520,1.09661,1.09693,0.63651,58.1,44.01,35.05,30.52,30.07,35.05,58.1,46.78,35.05
1666,1.38853,1.02848,0.74035,0.89128,0.88148,0.96524,1.00337,0.93794,0.71532,53.16,37.69,33.29,28.19,25.53,33,53.16,40,39.39
1667,1.34047,0.96244,0.71388,0.88211,0.85317,0.91873,0.96864,0.89808,0.58294,51.32,35.27,32.1,27.9,24.71,31.41,51.32,38.3,32.1
1668,1.25845,0.71903,0.69098,0.82299,0.90979,0.90878,0.90937,0.79725,0.56423,48.18,26.35,31.07,26.03,26.35,31.07,48.18,34,31.07
1669,1.20334,0.68219,0.67141,0.81983,0.86318,0.88304,0.86955,0.79725,0.54825,46.07,25,30.19,25.93,25,30.19,46.07,34,30.19
1670,1.07143,0.68219,0.66585,0.82267,0.86318,0.87310,0.95543,0.85658,0.54371,41.02,25,29.94,26.02,25,29.85,50.62,36.53,29.94
1671,1.03460,0.67919,0.66674,0.89128,0.85938,0.87690,0.97544,0.89785,0.54444,39.61,24.89,29.98,28.19,24.89,29.98,51.68,38.29,29.98
1672,1.04479,0.68301,0.68519,1.01174,0.86422,0.90118,1.05697,0.96139,0.68808,40,25.03,30.81,32,25.03,30.81,56,41,37.89
1673,1.11819,0.81727,0.77082,1.35352,1.03409,1.01379,1.09246,1.06926,0.84498,42.81,29.95,34.66,42.81,29.95,34.66,57.88,45.6,46.53
1674,1.38069,0.96844,0.97786,1.67127,1.22537,1.28610,1.29177,1.27959,0.94432,52.86,35.49,43.97,52.86,35.49,43.97,68.44,54.57,52
1675,1.73566,1.22741,1.02101,2.10095,1.30479,1.34285,1.35085,1.46882,0.99880,66.45,44.98,45.91,66.45,37.79,45.91,71.57,62.64,55
1676,1.34856,1.00556,0.84732,1.50876,1.03651,1.11441,1.21363,0.99914,0.96248,51.63,36.85,38.1,47.72,30.02,38.1,64.3,42.61,53
1677,1.18505,0.85411,0.71744,1.29092,0.87389,0.94359,1.08340,0.95178,0.90655,45.37,31.3,32.26,40.83,25.31,32.26,57.4,40.59,49.92
1678,1.17852,0.78289,0.71411,1.26594,0.78446,0.93920,0.97393,0.86760,0.82483,45.12,28.69,32.11,40.04,22.72,32.11,51.6,37,45.42
1679,1.17905,0.86830,0.77860,0.98013,0.73612,0.87895,0.91900,0.79725,0.71459,45.14,31.82,35.01,31,21.32,30.05,48.69,34,39.35
1680,1.02964,0.79053,0.64672,0.93080,0.76064,0.81606,0.81311,0.76560,0.79904,39.42,28.97,29.08,29.44,22.03,27.9,43.08,32.65,44
1681,1.03016,0.73595,0.57956,0.93902,0.71989,0.74294,0.75574,0.70346,0.68790,39.44,26.97,26.06,29.7,20.85,25.4,40.04,30,37.88
1682,0.96330,0.65982,0.51662,0.93681,0.72611,0.59552,0.69609,0.70299,0.63560,36.88,24.18,23.23,29.63,21.03,20.36,36.88,29.98,35
1683,0.90061,0.60961,0.40187,0.94693,0.72715,0.40715,0.65079,0.69408,0.54480,34.48,22.34,18.07,29.95,21.06,13.92,34.48,29.6,30
1684,0.85229,0.59351,0.31713,0.97823,0.75097,0.31824,0.62720,0.69220,0.66901,32.63,21.75,14.26,30.94,21.75,10.88,33.23,29.52,36.84
1685,0.95886,0.69311,0.34404,1.01585,0.77307,0.34953,0.76725,0.75059,0.75509,36.71,25.4,15.47,32.13,22.39,11.95,40.65,32.01,41.58
1686,1.21587,0.81863,0.38385,1.47177,0.97850,0.40715,0.99337,0.86760,0.81738,46.55,30,17.26,46.55,28.34,13.92,52.63,37,45.01
1687,1.44677,0.97417,0.33359,1.75126,1.19016,0.32789,1.15116,0.86994,0.81738,55.39,35.7,15,55.39,34.47,11.21,60.99,37.1,45.01
1688,1.51834,1.04621,0.32670,1.83790,1.32378,0.32087,1.37407,0.91450,0.80231,58.13,38.34,14.69,58.13,38.34,10.97,72.8,39,44.18
1689,1.44077,1.00119,0.36940,1.48473,1.26681,0.38843,1.18041,0.93841,0.79904,55.16,36.69,16.61,46.96,36.69,13.28,62.54,40.02,44
1690,1.34256,0.89804,0.38897,1.38893,1.13629,0.29776,1.10454,0.94498,0.83609,51.4,32.91,17.49,43.93,32.91,10.18,58.52,40.3,46.04
1691,1.26289,0.87594,0.40987,1.29661,1.10418,0.45717,1.03791,0.86830,0.74819,48.35,32.1,18.43,41.01,31.98,15.63,54.99,37.03,41.2
1692,1.18688,0.85056,0.38830,1.05474,1.02926,0.28080,0.88635,0.80898,0.73711,45.44,31.17,17.46,33.36,29.81,9.6,46.96,34.5,40.59
1693,1.12289,0.73759,0.33848,1.01048,0.93327,0.35714,0.91277,0.80898,0.69189,42.99,27.03,15.22,31.96,27.03,12.21,48.36,34.5,38.1
1694,1.04610,0.68247,0.29601,1.02344,0.86353,0.27933,0.96279,0.86736,0.71060,40.05,25.01,13.31,32.37,25.01,9.55,51.01,36.99,39.13
1695,0.99229,0.68001,0.27332,1.20113,0.86042,0.34895,1.01922,0.86760,0.79032,37.99,24.92,12.29,37.99,24.92,11.93,54,37,43.52
1696,0.98994,0.67892,0.27377,1.19828,0.85904,0.32175,1.11039,0.86760,0.90800,37.9,24.88,12.31,37.9,24.88,11,58.83,37,50
1697,1.09729,0.76133,0.55109,1.32823,0.96331,0.78681,1.07641,0.90277,0.93833,42.01,27.9,24.78,42.01,27.9,26.9,57.03,38.5,51.67
1698,1.35875,0.88822,0.69276,1.64472,1.12386,0.91112,1.26440,1.07488,0.98064,52.02,32.55,31.15,52.02,32.55,31.15,66.99,45.84,54
1699,1.61942,0.97390,0.86600,1.96025,1.23228,0.91697,1.32103,1.28991,0.99880,62,35.69,38.94,62,35.69,31.35,69.99,55.01,55
1700,1.38382,0.96544,0.86511,1.40411,1.04721,0.89767,1.04640,0.93888,0.96248,52.98,35.38,38.9,44.41,30.33,30.69,55.44,40.04,53
1701,1.18087,0.74196,0.73301,1.16635,0.92430,0.89562,0.92108,0.85095,0.92616,45.21,27.19,32.96,36.89,26.77,30.62,48.8,36.29,51
1702,1.17539,0.86830,0.76526,1.02755,0.97367,0.88919,0.84935,0.82047,0.83536,45,31.82,34.41,32.5,28.2,30.4,45,34.99,46
1703,1.10722,0.91250,0.71255,0.94630,0.87043,0.85818,0.81160,0.78553,0.78996,42.39,33.44,32.04,29.93,25.21,29.34,43,33.5,43.5
1704,1.00692,0.79162,0.60135,0.85872,1.00164,0.79091,0.77386,0.85283,0.78070,38.55,29.01,27.04,27.16,29.01,27.04,41,36.37,42.99
1705,0.98054,0.71221,0.60046,0.87453,0.90116,0.78447,0.70855,0.76747,0.73820,37.54,26.1,27,27.66,26.1,26.82,37.54,32.73,40.65
1706,0.99255,0.70102,0.59824,0.85429,0.88701,0.78681,0.71723,0.74684,0.69371,38,25.69,26.9,27.02,25.69,26.9,38,31.85,38.2
1707,0.77785,0.66855,0.43634,0.86852,0.84592,0.79032,0.58587,0.72691,0.69371,29.78,24.5,19.62,27.47,24.5,27.02,31.04,31,38.2
1708,0.79143,0.63471,0.43345,0.90772,0.80311,0.81226,0.57190,0.71424,0.70824,30.3,23.26,19.49,28.71,23.26,27.77,30.3,30.46,39
1709,0.91106,0.66855,0.61492,0.95578,0.84592,0.86696,0.79971,0.74707,0.73875,34.88,24.5,27.65,30.23,24.5,29.64,42.37,31.86,40.68
1710,1.10225,0.69447,0.75236,1.33424,0.87872,0.98951,0.99280,0.78060,0.91308,42.2,25.45,33.83,42.2,25.45,33.83,52.6,33.29,50.28
1711,1.35927,0.69611,0.91181,1.64535,0.88079,1.19923,1.09472,0.84415,0.92616,52.04,25.51,41,52.04,25.51,41,58,36,51
1712,1.37703,0.78889,0.95318,1.57769,0.99818,1.25364,1.24553,0.87932,0.94414,52.72,28.91,42.86,49.9,28.91,42.86,65.99,37.5,51.99
1713,1.40106,0.82109,0.88957,1.29377,1.03893,1.16998,1.05980,0.87932,0.92616,53.64,30.09,40,40.92,30.09,40,56.15,37.5,51
1714,1.34961,0.79844,0.76881,1.18216,1.01027,1.01116,0.98412,0.86760,0.86205,51.67,29.26,34.57,37.39,29.26,34.57,52.14,37,47.47
1715,1.25584,0.77607,0.73145,1.13631,0.98196,0.96202,0.94391,0.84415,0.84535,48.08,28.44,32.89,35.94,28.44,32.89,50.01,36,46.55
1716,1.17539,0.75314,0.71099,1.05032,0.95295,0.93511,0.84935,0.72620,0.73530,45,27.6,31.97,33.22,27.6,31.97,45,30.97,40.49
1717,1.13046,0.68247,0.71611,0.97981,0.86353,0.94184,0.81689,0.63968,0.73348,43.28,25.01,32.2,30.99,25.01,32.2,43.28,27.28,40.39
1718,1.13647,0.63799,0.70499,1.03546,0.80725,0.92721,0.86124,0.65656,0.82755,43.51,23.38,31.7,32.75,23.38,31.7,45.63,28,45.57
1719,1.08658,0.62653,0.71166,1.03546,0.79275,0.93599,0.95448,0.73722,0.84843,41.6,22.96,32,32.75,22.96,32,50.57,31.44,46.72
1720,1.08658,0.64590,0.81418,1.19892,0.81726,1.07083,1.03432,0.82047,0.94432,41.6,23.67,36.61,37.92,23.67,36.61,54.8,34.99,52
1721,1.11375,0.73868,0.93005,1.34815,0.93465,1.22322,1.00979,0.84016,0.95431,42.64,27.07,41.82,42.64,27.07,41.82,53.5,35.83,52.55
1722,1.25427,0.93024,1.10974,1.51825,1.17704,1.45955,1.22666,0.89105,0.98064,48.02,34.09,49.9,48.02,34.09,49.9,64.99,38,54
1723,1.49379,1.00883,1.26742,1.62575,1.27647,1.66693,1.30102,0.96139,1.03494,57.19,36.97,56.99,51.42,36.97,56.99,68.93,41,56.99
1724,1.35849,0.95507,1.10107,1.35036,1.20846,1.44815,1.13247,0.87416,0.96248,52.01,35,49.51,42.71,35,49.51,60,37.28,53
1725,1.24591,0.82327,0.99944,1.07656,1.04169,1.31448,1.05924,0.82140,0.94432,47.7,30.17,44.94,34.05,30.17,44.94,56.12,35.03,52
1726,1.21796,0.84347,0.88869,1.13157,1.06724,1.16881,0.96638,0.77146,0.83717,46.63,30.91,39.96,35.79,30.91,39.96,51.2,32.9,46.1
1727,1.20987,0.81863,0.74613,0.98455,1.03582,0.98132,0.91296,0.73394,0.81738,46.32,30,33.55,31.14,30,33.55,48.37,31.3,45.01
1728,1.15449,0.72340,0.65784,0.96021,0.91532,0.86520,0.99261,0.70768,0.74728,44.2,26.51,29.58,30.37,26.51,29.58,52.59,30.18,41.15
1729,1.07300,0.62325,0.63627,0.88749,0.78204,0.83683,0.87389,0.62444,0.70188,41.08,22.84,28.61,28.07,22.65,28.61,46.3,26.63,38.65
1730,0.99360,0.59133,0.61670,0.88559,0.74821,0.81109,0.86049,0.59911,0.68790,38.04,21.67,27.73,28.01,21.67,27.73,45.59,25.55,37.88
1731,0.96460,0.57441,0.61714,0.94566,0.72680,0.81168,0.83048,0.56277,0.68100,36.93,21.05,27.75,29.91,21.05,27.75,44,24,37.5
1732,0.89251,0.57632,0.63227,0.95673,0.72922,0.83157,0.82274,0.51587,0.69371,34.17,21.12,28.43,30.26,21.12,28.43,43.59,22,38.2
1733,0.91785,0.57768,0.65584,0.88907,0.73094,0.86257,0.87389,0.54823,0.73330,35.14,21.17,29.49,28.12,21.17,29.49,46.3,23.38,40.38
1734,0.99255,0.57605,0.83887,0.88275,0.72887,1.10329,0.92259,0.54471,0.81738,38,21.11,37.72,27.92,21.11,37.72,48.88,23.23,45.01
1735,1.00300,0.57523,0.99899,0.97949,0.72784,1.31389,0.96656,0.49430,0.89038,38.4,21.08,44.92,30.98,21.08,44.92,51.21,21.08,49.03
1736,1.08397,0.58150,1.04747,1.12398,0.73578,1.37766,1.01375,0.62444,0.91980,41.5,21.31,47.1,35.55,21.31,47.1,53.71,26.63,50.65
1737,1.14457,0.59187,1.01901,1.26215,0.74890,1.28610,0.97770,0.72761,0.83209,43.82,21.69,45.82,39.92,21.69,43.97,51.8,31.03,45.82
1738,1.10095,0.59296,0.95385,1.13695,0.75028,1.22643,0.96147,0.83102,0.78070,42.15,21.73,42.89,35.96,21.73,41.93,50.94,35.44,42.99
1739,1.07718,0.59187,0.87134,1.07308,0.74890,1.08779,0.91164,0.84837,0.74819,41.24,21.69,39.18,33.94,21.69,37.19,48.3,36.18,41.2
1740,1.08658,0.57495,0.85688,0.99024,0.72749,0.90908,0.88087,0.72691,0.69970,41.6,21.07,38.53,31.32,21.07,31.08,46.67,31,38.53
1741,1.06177,0.52938,0.84265,0.92543,0.66983,0.87983,0.84161,0.72691,0.68808,40.65,19.4,37.89,29.27,19.4,30.08,44.59,31,37.89
1742,1.00300,0.44943,0.84732,0.88496,0.61390,0.87983,0.86898,0.72667,0.72749,38.4,16.47,38.1,27.99,17.78,30.08,46.04,30.99,40.06
1743,0.88311,0.42869,0.83464,0.84544,0.60285,0.88217,0.93750,0.73722,0.81974,33.81,15.71,37.53,26.74,17.46,30.16,49.67,31.44,45.14
1744,0.84158,0.44779,0.77838,0.90614,0.62425,1.02374,0.97751,0.82047,0.88167,32.22,16.41,35,28.66,18.08,35,51.79,34.99,48.55
1745,0.95389,0.55094,0.91960,1.13790,0.69711,1.20362,1.00903,0.84392,0.94432,36.52,20.19,41.35,35.99,20.19,41.15,53.46,35.99,52
1746,1.13360,0.71167,1.01367,1.37218,0.90047,1.33320,1.24553,0.89105,0.99880,43.4,26.08,45.58,43.4,26.08,45.58,65.99,38,55
1747,1.33080,0.91551,1.14688,1.34404,1.15839,1.32969,1.34009,0.89175,1.01605,50.95,33.55,51.57,42.51,33.55,45.46,71,38.03,55.95
1748,1.30938,0.84729,1.13332,1.18848,1.07207,1.04860,1.13247,0.88026,0.96248,50.13,31.05,50.96,37.59,31.05,35.85,60,37.54,53
1749,1.18584,0.74332,0.94940,0.96558,0.94052,0.84795,0.99978,0.84415,0.92616,45.4,27.24,42.69,30.54,27.24,28.99,52.97,36,51
1750,1.22476,0.78944,0.91181,0.92733,0.99888,0.82133,0.97789,0.75997,0.81901,46.89,28.93,41,29.33,28.93,28.08,51.81,32.41,45.1
1751,1.18662,0.72667,0.88980,0.77114,0.91946,0.68561,0.93901,0.65680,0.74983,45.43,26.63,40.01,24.39,26.63,23.44,49.75,28.01,41.29
1752,1.15763,0.63799,0.85444,0.98866,0.77307,0.64963,0.94391,0.59559,0.69771,44.32,23.38,38.42,31.27,22.39,22.21,50.01,25.4,38.42
1753,1.06751,0.56486,0.71477,0.84291,0.71472,0.61834,0.86049,0.48539,0.66829,40.87,20.7,32.14,26.66,20.7,21.14,45.59,20.7,36.8
1754,0.98602,0.55176,0.74702,0.80781,0.69814,0.54550,0.79556,0.47413,0.65376,37.75,20.22,33.59,25.55,20.22,18.65,42.15,20.22,36
1755,0.86195,0.54548,0.66006,0.80244,0.69020,0.58967,0.80349,0.46874,0.65467,33,19.99,29.68,25.38,19.99,20.16,42.57,19.99,36.05
1756,0.83374,0.55558,0.63849,0.80212,0.70298,0.70287,0.77386,0.47741,0.66466,31.92,20.36,28.71,25.37,20.36,24.03,41,20.36,36.6
1757,0.76479,0.64836,0.74368,0.79201,0.75684,0.82045,0.86634,0.60732,0.72150,29.28,23.76,33.44,25.05,21.92,28.05,45.9,25.9,39.73
1758,0.76191,0.86830,0.89536,0.75059,1.01717,1.02257,0.86634,0.76982,0.82101,29.17,31.82,40.26,23.74,29.46,34.96,45.9,32.83,45.21
1759,0.77106,0.96681,1.08751,0.77398,1.22330,1.19865,0.89465,0.89105,0.90873,29.52,35.43,48.9,24.48,35.43,40.98,47.4,38,50.04
