,FR [EUR/EURavg],,,DE  [EUR/EURavg],,,IT  [EUR/EURavg],,,FR-real [EUR/MWh],,,DE-real [EUR/MWh],,,IT-real [EUR/MWh],,
39,0.53738,0.53511,1.32791,0.46351,0.58593,1.63798,1.10824,1.14781,1.08433,,19.61,59.71,14.66,16.97,56,,48.95,59.71
40,0.56588,0.56349,1.35571,0.50872,0.66465,1.68975,1.13144,1.24254,1.10703,,20.65,60.96,16.09,19.25,57.77,,52.99,60.96
41,0.93747,0.93352,1.63571,0.79359,0.96711,1.97903,1.36511,1.43013,1.33567,,34.21,73.55,25.1,28.01,67.66,,60.99,73.55
42,1.15724,1.15236,1.72177,0.79232,0.97919,1.61165,1.43694,1.40574,1.40595,,42.23,77.42,25.06,28.36,55.1,,59.95,77.42
43,1.02379,1.01947,1.66795,0.60325,0.91705,1.57714,1.39202,1.28967,1.36200,,37.36,75,19.08,26.56,53.92,,55,75
44,0.89993,0.89613,1.55920,0.45086,0.60008,1.43528,1.30126,1.17806,1.27320,,32.84,70.11,14.26,17.38,49.07,,50.24,70.11
45,0.71660,0.71358,1.36127,0.38636,0.54657,1.17730,1.10787,1.01321,1.08397,,26.15,61.21,12.22,15.83,40.25,,43.21,59.69
46,0.83909,0.83555,1.33659,0.32882,0.58593,1.34314,1.00226,0.94334,0.98064,,30.62,60.1,10.4,16.97,45.92,,40.23,54
47,0.99173,0.98755,1.30723,-0.01043,0.52861,1.13722,0.96514,0.90629,0.94432,,36.19,58.78,-0.33,15.31,38.88,,38.65,52
48,0.53848,0.53621,1.21605,-0.00253,0.24135,1.05357,0.93841,0.85540,0.91817,,19.65,54.68,-0.08,6.99,36.02,,36.48,50.56
49,0.51820,0.51601,1.17290,-0.00221,-0.00035,1.02315,0.87401,0.68071,0.85515,,18.91,52.74,-0.07,-0.01,34.98,,29.03,47.09
50,0.40118,0.39949,1.09529,-0.15903,0.00794,0.98396,0.82464,0.62139,0.80685,,14.64,49.25,-5.03,0.23,33.64,,26.5,44.43
51,0.27732,0.27615,1.00077,0.00032,0.15572,0.99127,0.83521,0.52337,0.81720,,10.12,45,0.01,4.51,33.89,,22.32,45
52,0.19566,0.19483,1.00477,-0.00126,0.14225,0.97986,0.83856,0.39863,0.82047,,7.14,45.18,-0.04,4.12,33.5,,17,45.18
53,0.25787,0.25678,1.09529,0.00095,0.23340,0.99185,0.86751,0.46874,0.84880,,9.41,49.25,0.03,6.76,33.91,,19.99,46.74
54,0.11345,0.11297,1.28210,-0.27412,0.02590,1.40778,1.02082,0.57590,0.99880,,4.14,57.65,-8.67,0.75,48.13,,24.56,55
55,0.19402,0.19320,1.56810,0.14101,0.14743,1.59732,1.10861,0.72456,1.08470,,7.08,70.51,4.46,4.27,54.61,,30.9,59.73
56,0.31240,0.31108,1.64660,0.31301,0.31454,1.69443,1.14721,0.78459,1.12247,,11.4,74.04,9.9,9.11,57.93,,33.46,61.81
57,0.48339,0.48136,1.67507,0.45181,0.54967,1.67249,1.14721,0.84438,1.12247,,17.64,75.32,14.29,15.92,57.18,,36.01,61.81
58,0.54779,0.54548,1.66017,0.52895,0.58904,1.52888,1.14963,0.86220,1.12483,,19.99,74.65,16.73,17.06,52.27,,36.77,61.94
59,0.60589,0.60333,1.63037,0.70538,0.66569,1.46072,1.18415,0.84579,1.15861,,22.11,73.31,22.31,19.28,49.94,,36.07,63.8
60,0.62151,0.61889,1.61702,0.72814,0.69918,1.35426,1.06703,0.84157,1.04402,,22.68,72.71,23.03,20.25,46.3,,35.89,57.49
61,0.60287,0.60033,1.59434,0.70822,0.60975,1.21415,1.05311,0.68071,1.03040,,22,71.69,22.4,17.66,41.51,,29.03,56.74
62,0.54505,0.54275,1.56810,0.85587,0.63841,1.08457,1.11362,0.70580,1.08960,,19.89,70.51,27.07,18.49,37.08,,30.1,60
63,0.48641,0.48436,1.55542,0.92733,0.57005,1.08311,1.18805,0.87885,1.16242,,17.75,69.94,29.33,16.51,37.03,,37.48,64.01
64,0.51409,0.51192,1.58144,1.07024,0.64773,1.14307,1.27955,0.94123,1.25195,,18.76,71.11,33.85,18.76,39.08,,40.14,68.94
65,0.60863,0.60606,1.80851,1.45312,0.76685,1.23258,1.24373,1.16328,1.21690,,22.21,81.32,45.96,22.21,42.14,,49.61,67.01
66,0.73331,0.73022,3.05146,1.57516,0.92395,1.07258,1.15055,1.29202,1.12574,,26.76,137.21,49.82,26.76,36.67,,55.1,61.99
67,0.74619,0.74305,2.00532,1.50560,0.93500,1.05386,1.08578,1.23527,1.06236,,27.23,90.17,47.62,27.08,36.03,,52.68,58.5
68,0.69413,0.69120,1.66662,1.13758,0.87458,0.98132,1.11362,1.19588,1.08960,,25.33,74.94,35.98,25.33,33.55,,51,60
69,0.60589,0.60333,1.59212,0.86188,0.76340,0.71837,1.10397,1.09435,1.08016,,22.11,71.59,27.26,22.11,24.56,,46.67,59.48
70,0.61849,0.61589,1.52851,0.87579,0.72197,0.51977,1.16930,0.94123,1.14408,,22.57,68.73,27.7,20.91,17.77,,40.14,63
71,0.57574,0.57332,1.49938,0.45117,0.49823,0.27758,1.05311,0.88589,1.03040,,21.01,67.42,14.27,14.43,9.49,,37.78,56.74
72,0.37762,0.37603,1.39419,0.29467,0.47579,0.24862,1.15742,0.82000,1.13246,,13.78,62.69,9.32,13.78,8.5,,34.97,62.36
73,0.36830,0.36675,1.24629,0.00063,0.44091,-0.00146,1.04012,0.64507,1.01768,,13.44,56.04,0.02,12.77,-0.05,,27.51,56.04
74,0.31404,0.31272,1.20315,-0.00126,0.36461,-0.18339,1.00411,0.57590,0.98245,,11.46,54.1,-0.04,10.56,-6.27,,24.56,54.1
75,0.15209,0.15145,1.15645,0.00032,0.13362,-0.14888,0.96514,0.58293,0.94432,,5.55,52,0.01,3.87,-5.09,,24.86,52
76,0.13702,0.13644,1.14221,0.00000,0.11049,0.00175,0.95326,0.53416,0.93270,,5,51.36,0,3.2,0.06,,22.78,51.36
77,0.27540,0.27424,1.17913,-0.00032,0.29935,0.30858,0.98407,0.68071,0.96284,,10.05,53.02,-0.01,8.67,10.55,,29.03,53.02
78,0.52368,0.52147,1.38774,-0.10054,0.62184,0.32116,1.15816,0.90582,1.13318,,19.11,62.4,-3.18,18.01,10.98,,38.63,62.4
79,0.86156,0.85793,1.60835,-0.00158,0.98472,0.92516,1.26210,1.11334,1.23488,,31.44,72.32,-0.05,28.52,31.63,,47.48,68
80,0.99501,0.99082,1.62370,0.00158,1.19948,1.02198,1.35509,1.28709,1.32586,,36.31,73.01,0.05,34.74,34.94,,54.89,73.01
81,0.91692,0.91305,1.62347,0.30416,1.15528,0.97313,1.35490,1.28709,1.32568,,33.46,73,9.62,33.46,33.27,,54.89,73
82,0.91089,0.90705,1.62014,0.36486,1.14769,0.98045,1.35212,1.27701,1.32295,,33.24,72.85,11.54,33.24,33.52,,54.46,72.85
83,0.96158,0.95753,1.61258,0.46414,1.21156,1.01818,1.34581,1.12553,1.31678,,35.09,72.51,14.68,35.09,34.81,,48,72.51
84,0.95912,0.95507,1.59501,0.45244,1.20846,1.02608,1.23278,1.04487,1.20619,,35,71.72,14.31,35,35.08,,44.56,66.42
85,0.95912,0.95507,1.59212,0.35348,1.20846,1.04947,1.28363,1.00243,1.25594,,35,71.59,11.18,35,35.88,,42.75,69.16
86,0.95747,0.95344,1.53452,0.37972,1.20638,1.05386,1.28066,1.07981,1.25304,,34.94,69,12.01,34.94,36.03,,46.05,69
87,0.95692,0.95289,1.49293,0.45402,1.20569,1.05796,1.24595,1.23129,1.21908,,34.92,67.13,14.36,34.92,36.17,,52.51,67.13
88,1.04133,1.03694,1.51806,0.55488,1.31204,1.06995,1.26693,1.25098,1.23960,,38,68.26,17.55,38,36.58,,53.35,68.26
89,1.12929,1.12453,1.60457,0.91500,1.42287,1.37327,1.33913,1.40692,1.31024,,41.21,72.15,28.94,41.21,46.95,,60,72.15
90,1.17697,1.17201,1.70798,0.93555,1.48295,1.44639,1.42543,1.37081,1.39469,,42.95,76.8,29.59,42.95,49.45,,58.46,76.8
91,1.14984,1.14500,1.69375,0.93017,1.44877,1.41480,1.31797,1.30163,1.28954,,41.96,76.16,29.42,41.96,48.37,,55.51,71.01
92,0.95747,0.95344,1.61191,0.91436,1.20638,1.11207,1.29625,1.24278,1.26829,,34.94,72.48,28.92,34.94,38.02,,53,69.84
93,0.84019,0.83664,1.47136,0.90614,1.05861,1.01057,1.20160,1.12061,1.17568,,30.66,66.16,28.66,30.66,34.55,,47.79,64.74
94,0.82210,0.81863,1.44511,0.94029,1.03582,0.97489,1.15742,1.00243,1.13246,,30,64.98,29.74,30,33.33,,42.75,62.36
95,0.65494,0.65218,1.37773,0.78726,0.82520,0.93745,1.14981,0.90699,1.12501,,23.9,61.95,24.9,23.9,32.05,,38.68,61.95
96,0.68591,0.68301,1.13910,0.70632,0.86422,1.05503,0.90069,0.74590,0.93015,,25.03,51.22,22.34,25.03,36.07,47.72,31.81,51.22
97,0.66919,0.66637,1.07661,0.56689,0.84316,1.06234,0.73799,0.57261,0.87912,,24.42,48.41,17.93,24.42,36.32,39.1,24.42,48.41
98,0.61219,0.60961,1.11197,0.47963,0.77134,0.90644,0.66457,0.52384,0.90800,,22.34,50,15.17,22.34,30.99,35.21,22.34,50
99,0.58917,0.58669,1.05548,0.51789,0.74234,0.90586,0.61210,0.50414,0.86187,,21.5,47.46,16.38,21.5,30.97,32.43,21.5,47.46
100,0.54807,0.54576,0.94161,0.54950,0.69055,1.04245,0.62569,0.46897,0.76889,,20,42.34,17.38,20,35.64,33.15,20,42.34
101,0.64480,0.64208,1.00477,0.51789,0.81243,1.04509,0.73328,0.68071,0.82047,,23.53,45.18,16.38,23.53,35.73,38.85,29.03,45.18
102,0.79360,0.79025,1.20293,0.84133,0.99991,1.14161,0.92278,0.92059,0.98227,,28.96,54.09,26.61,28.96,39.03,48.89,39.26,54.09
103,1.05010,1.04567,1.47247,1.18975,1.32309,1.51220,1.13304,1.24254,1.18094,,38.32,66.21,37.63,38.32,51.7,60.03,52.99,65.03
104,1.13587,1.13108,1.55008,1.23591,1.43116,1.69589,1.20759,1.28616,1.25140,,41.45,69.7,39.09,41.45,57.98,63.98,54.85,68.91
105,1.11586,1.11116,1.61458,1.31242,1.40595,1.58269,1.21741,1.28967,1.28010,,40.72,72.6,41.51,40.72,54.11,64.5,55,70.49
106,1.11422,1.10952,1.62414,1.27922,1.40388,1.55403,1.04735,1.28709,1.29916,,40.66,73.03,40.46,40.66,53.13,55.49,54.89,71.54
107,1.10518,1.10052,1.61458,1.29535,1.39249,1.46423,1.00979,1.26294,1.27483,,40.33,72.6,40.97,40.33,50.06,53.5,53.86,70.2
108,1.04818,1.04376,1.61324,1.28744,1.32067,1.46160,0.96260,1.13022,1.18040,,38.25,72.54,40.72,38.25,49.97,51,48.2,65
109,1.01338,1.00910,1.59034,1.32538,1.27682,1.42855,0.95109,1.09388,1.14717,,36.98,71.51,41.92,36.98,48.84,50.39,46.65,63.17
110,0.95665,0.95262,1.58122,1.32791,1.20535,1.49144,1.02772,1.12553,1.21672,,34.91,71.1,42,34.91,50.99,54.45,48,67
111,0.91801,0.91414,1.56810,1.36269,1.15667,1.68127,1.20797,1.21933,1.28046,,33.5,70.51,43.1,33.5,57.48,64,52,70.51
112,0.96186,0.95780,1.55008,1.47651,1.21191,2.03870,1.21269,1.32836,1.26575,,35.1,69.7,46.7,35.1,69.7,64.25,56.65,69.7
113,1.16300,1.15809,1.65261,1.79521,1.46534,2.16213,1.29555,1.40692,1.34239,,42.44,74.31,56.78,42.44,73.92,68.64,60,73.92
114,1.17670,1.17174,2.15566,1.86034,1.48260,2.15745,1.26459,1.38323,1.25667,,42.94,96.93,58.84,42.94,73.76,67,58.99,69.2
