Hour,Load [MW],,,Load factor [MW/MWavg],,,Load factor [MW/MWh-year],,
,2015,2016,2017,2015,2016,2017,2015,2016,2017
0,7635,6834,6745,1.0777,0.9560,0.9724,0.000123024,0.00010913,0.000111008
1,7643,6948,7106,1.0788,0.9719,1.0245,0.000123153,0.000110951,0.00011695
2,7394,7059,7184,1.0437,0.9875,1.0357,0.000119141,0.000112723,0.000118233
3,7335,6947,7100,1.0353,0.9718,1.0236,0.00011819,0.000110935,0.000116851
4,7004,6703,6878,0.9886,0.9377,0.9916,0.000112857,0.000107039,0.000113197
5,7045,6665,6736,0.9944,0.9323,0.9711,0.000113517,0.000106432,0.00011086
6,6839,6452,6366,0.9653,0.9025,0.9178,0.000110198,0.00010303,0.000104771
7,6619,6315,6066,0.9343,0.8834,0.8745,0.000106653,0.000100843,9.98335E-05
8,6563,6370,6490,0.9264,0.8911,0.9357,0.000105751,0.000101721,0.000106812
9,6812,6509,6656,0.9615,0.9105,0.9596,0.000109763,0.000103941,0.000109544
10,6840,6564,6644,0.9655,0.9182,0.9579,0.000110214,0.000104819,0.000109346
11,6613,6653,6345,0.9334,0.9307,0.9148,0.000106557,0.00010624,0.000104425
12,7138,7075,6724,1.0075,0.9897,0.9694,0.000115016,0.000112979,0.000110663
13,7072,6944,6681,0.9982,0.9714,0.9632,0.000113952,0.000110887,0.000109955
14,7081,6798,6397,0.9995,0.9509,0.9223,0.000114098,0.000108556,0.000105281
15,7077,6656,6323,0.9989,0.9311,0.9116,0.000114033,0.000106288,0.000104063
16,7324,6758,6674,1.0338,0.9454,0.9622,0.000118013,0.000107917,0.00010984
17,7618,7072,7152,1.0753,0.9893,1.0311,0.00012275,0.000112931,0.000117707
18,7802,7181,7217,1.1013,1.0045,1.0405,0.000125715,0.000114672,0.000118777
19,7707,7079,7120,1.0879,0.9903,1.0265,0.000124184,0.000113043,0.00011718
20,7446,6954,6900,1.0510,0.9728,0.9948,0.000119979,0.000111047,0.000113559
21,7359,6884,6721,1.0387,0.9630,0.9690,0.000118577,0.000109929,0.000110613
22,7450,7060,6689,1.0516,0.9876,0.9644,0.000120043,0.000112739,0.000110087
23,7235,6913,7038,1.0212,0.9670,1.0147,0.000116579,0.000110392,0.000115831
24,7065,6718,6867,0.9972,0.9398,0.9900,0.00011384,0.000107278,0.000113016
25,7044,6843,7112,0.9943,0.9572,1.0253,0.000113501,0.000109274,0.000117048
26,7185,6901,7135,1.0142,0.9654,1.0287,0.000115773,0.0001102,0.000117427
27,7104,6858,7067,1.0027,0.9593,1.0189,0.000114468,0.000109514,0.000116308
28,6972,6549,7001,0.9841,0.9161,1.0093,0.000112341,0.000104579,0.000115222
29,6786,6603,7021,0.9579,0.9237,1.0122,0.000109344,0.000105442,0.000115551
30,6780,6584,6544,0.9570,0.9210,0.9435,0.000109247,0.000105138,0.0001077
31,6692,6400,6307,0.9446,0.8953,0.9093,0.000107829,0.0001022,0.0001038
32,6817,6492,6586,0.9622,0.9081,0.9495,0.000109844,0.000103669,0.000108392
33,7098,6646,6859,1.0019,0.9297,0.9889,0.000114371,0.000106128,0.000112885
34,7205,6857,7012,1.0170,0.9592,1.0109,0.000116096,0.000109498,0.000115403
35,7120,7019,6871,1.0050,0.9819,0.9906,0.000114726,0.000112085,0.000113082
36,7517,7169,7095,1.0610,1.0028,1.0229,0.000121123,0.00011448,0.000116769
37,7446,7241,6959,1.0510,1.0129,1.0033,0.000119979,0.00011563,0.00011453
38,7307,7210,6807,1.0314,1.0086,0.9814,0.000117739,0.000115135,0.000112029
39,7277,7127,6806,1.0272,0.9970,0.9812,0.000117256,0.000113809,0.000112012
40,7505,7305,7131,1.0593,1.0219,1.0281,0.00012093,0.000116652,0.000117361
41,8061,7648,7697,1.1378,1.0698,1.1097,0.000129888,0.000122129,0.000126676
42,8157,7691,7793,1.1514,1.0759,1.1235,0.000131435,0.000122816,0.000128256
43,7920,7484,7554,1.1179,1.0469,1.0891,0.000127616,0.00011951,0.000124323
44,7545,7209,7242,1.0650,1.0084,1.0441,0.000121574,0.000115119,0.000119188
45,7372,7322,7037,1.0406,1.0242,1.0145,0.000118786,0.000116923,0.000115814
46,7379,7293,7100,1.0416,1.0202,1.0236,0.000118899,0.00011646,0.000116851
47,7100,7068,6935,1.0022,0.9887,0.9998,0.000114404,0.000112867,0.000114135
48,6934,6951,7264,0.9787,0.9723,1.0473,0.000111729,0.000110999,0.00011955
49,6927,6827,7521,0.9778,0.9550,1.0843,0.000111616,0.000109019,0.00012378
50,6985,6737,7436,0.9859,0.9424,1.0721,0.000112551,0.000107581,0.000122381
51,6917,6647,7385,0.9763,0.9298,1.0647,0.000111455,0.000106144,0.000121541
52,6751,6571,7225,0.9529,0.9192,1.0416,0.00010878,0.000104931,0.000118908
53,6855,6605,7439,0.9676,0.9239,1.0725,0.000110456,0.000105474,0.00012243
54,6891,6511,7331,0.9727,0.9108,1.0569,0.000111036,0.000103973,0.000120653
55,6874,6457,7645,0.9703,0.9032,1.1022,0.000110762,0.00010311,0.000125821
56,6967,6460,8158,0.9834,0.9037,1.1761,0.000112261,0.000103158,0.000134263
57,7213,6719,8350,1.0181,0.9399,1.2038,0.000116224,0.000107294,0.000137423
58,7324,6886,8329,1.0338,0.9633,1.2008,0.000118013,0.000109961,0.000137078
59,7389,6943,8196,1.0430,0.9712,1.1816,0.00011906,0.000110871,0.000134889
60,7516,7210,8196,1.0609,1.0086,1.1816,0.000121107,0.000115135,0.000134889
61,7700,7134,8093,1.0869,0.9979,1.1668,0.000124072,0.000113921,0.000133194
62,7786,6973,7964,1.0990,0.9754,1.1482,0.000125457,0.00011135,0.000131071
63,7985,6947,7972,1.1271,0.9718,1.1493,0.000128664,0.000110935,0.000131202
64,8029,7119,8179,1.1333,0.9959,1.1792,0.000129373,0.000113682,0.000134609
65,8170,7498,8659,1.1532,1.0489,1.2484,0.000131645,0.000119734,0.000142509
66,8135,7641,8726,1.1483,1.0689,1.2580,0.000131081,0.000122017,0.000143612
67,7828,7498,8405,1.1049,1.0489,1.2118,0.000126134,0.000119734,0.000138329
68,7371,7184,7967,1.0404,1.0049,1.1486,0.00011877,0.000114719,0.00013112
69,7138,6952,7619,1.0075,0.9725,1.0984,0.000115016,0.000111015,0.000125393
70,7094,7204,7519,1.0013,1.0077,1.0840,0.000114307,0.000115039,0.000123747
71,6951,7044,7324,0.9811,0.9854,1.0559,0.000112003,0.000112484,0.000120538
72,7049,6890,7222,0.9950,0.9638,1.0412,0.000113582,0.000110025,0.000118859
73,6998,6977,7174,0.9878,0.9760,1.0343,0.00011276,0.000111414,0.000118069
74,6844,6973,7289,0.9660,0.9754,1.0509,0.000110279,0.00011135,0.000119962
75,6673,6958,7364,0.9419,0.9733,1.0617,0.000107523,0.000111111,0.000121196
76,6535,6931,7212,0.9224,0.9696,1.0398,0.0001053,0.000110679,0.000118694
77,6596,7367,7137,0.9310,1.0305,1.0289,0.000106283,0.000117642,0.00011746
78,6530,7926,7285,0.9217,1.1087,1.0503,0.000105219,0.000126568,0.000119896
79,6395,8265,7858,0.9027,1.1562,1.1329,0.000103044,0.000131982,0.000129326
80,6685,8691,8349,0.9436,1.2158,1.2037,0.000107717,0.000138784,0.000137407
81,6830,8881,8550,0.9641,1.2423,1.2327,0.000110053,0.000141818,0.000140715
82,7013,8948,8568,0.9899,1.2517,1.2353,0.000113002,0.000142888,0.000141011
83,7129,9005,8492,1.0063,1.2597,1.2243,0.000114871,0.000143799,0.00013976
84,7166,8945,8552,1.0115,1.2513,1.2330,0.000115467,0.00014284,0.000140748
85,7104,8979,8516,1.0027,1.2560,1.2278,0.000114468,0.000143383,0.000140155
86,7050,8818,8380,0.9951,1.2335,1.2082,0.000113598,0.000140812,0.000137917
87,7084,8643,8323,0.9999,1.2090,1.1999,0.000114146,0.000138018,0.000136979
88,7477,8671,8447,1.0554,1.2130,1.2178,0.000120478,0.000138465,0.00013902
89,8020,9019,8757,1.1320,1.2616,1.2625,0.000129228,0.000144022,0.000144122
90,8064,9049,8773,1.1382,1.2658,1.2648,0.000129937,0.000144501,0.000144385
91,7947,8696,8427,1.1217,1.2165,1.2149,0.000128052,0.000138864,0.000138691
92,7636,8272,7917,1.0778,1.1571,1.1414,0.00012304,0.000132093,0.000130297
93,7441,8034,7534,1.0503,1.1238,1.0862,0.000119898,0.000128293,0.000123994
94,7296,7902,7378,1.0298,1.1054,1.0637,0.000117562,0.000126185,0.000121426
95,7034,7591,7139,0.9929,1.0619,1.0292,0.00011334,0.000121219,0.000117493
96,6984,7747,7394,0.9858,1.0837,1.0660,0.000112535,0.00012371,0.00012169
97,7183,7666,7630,1.0139,1.0724,1.1000,0.000115741,0.000122416,0.000125574
98,7219,7537,7558,1.0190,1.0543,1.0896,0.000116321,0.000120356,0.000124389
99,7348,7448,7740,1.0372,1.0419,1.1159,0.0001184,0.000118935,0.000127384
100,7257,7295,7752,1.0243,1.0205,1.1176,0.000116933,0.000116492,0.000127582
101,7485,7679,7999,1.0565,1.0742,1.1532,0.000120607,0.000122624,0.000131647
102,7918,8002,7459,1.1176,1.1194,1.0754,0.000127584,0.000127782,0.000122759
103,8726,8453,7922,1.2317,1.1825,1.1421,0.000140604,0.000134984,0.000130379
104,9186,8896,8345,1.2966,1.2444,1.2031,0.000148016,0.000142058,0.000137341
105,9253,8954,8490,1.3061,1.2525,1.2240,0.000149095,0.000142984,0.000139727
106,9143,9013,8615,1.2905,1.2608,1.2420,0.000147323,0.000143926,0.000141785
107,9074,9189,8575,1.2808,1.2854,1.2363,0.000146211,0.000146737,0.000141126
108,8777,8720,8625,1.2389,1.2198,1.2435,0.000141425,0.000139247,0.000141949
109,8716,8680,8544,1.2303,1.2142,1.2318,0.000140443,0.000138609,0.000140616
110,8602,8626,8369,1.2142,1.2067,1.2066,0.000138606,0.000137746,0.000137736
111,8720,8608,8300,1.2308,1.2041,1.1966,0.000140507,0.000137459,0.0001366
112,8760,8563,8488,1.2365,1.1978,1.2237,0.000141152,0.00013674,0.000139695
113,9221,9052,8865,1.3016,1.2663,1.2781,0.00014858,0.000144549,0.000145899
114,9400,9126,8955,1.3268,1.2766,1.2911,0.000151464,0.000145731,0.00014738
115,9080,8771,8657,1.2817,1.2269,1.2481,0.000146308,0.000140062,0.000142476
116,8633,8261,8254,1.2186,1.1556,1.1900,0.000139105,0.000131918,0.000135843
117,8321,7946,7903,1.1745,1.1115,1.1394,0.000134078,0.000126888,0.000130067
118,8138,7935,7784,1.1487,1.1100,1.1222,0.000131129,0.000126712,0.000128108
119,7757,7625,7596,1.0949,1.0666,1.0951,0.00012499,0.000121762,0.000125014
120,7539,7629,7609,1.0641,1.0672,1.0970,0.000121477,0.000121826,0.000125228
121,7487,7667,7566,1.0568,1.0725,1.0908,0.000120639,0.000122432,0.00012452
122,7445,7582,7996,1.0509,1.0606,1.1528,0.000119963,0.000121075,0.000131597
123,7564,7552,8019,1.0677,1.0564,1.1561,0.00012188,0.000120596,0.000131976
124,7434,7404,7499,1.0493,1.0357,1.0811,0.000119785,0.000118233,0.000123418
125,7663,7829,7637,1.0816,1.0952,1.1010,0.000123475,0.000125019,0.000125689
126,8099,8070,7756,1.1432,1.1289,1.1182,0.000130501,0.000128868,0.000127647
127,8892,8470,8251,1.2551,1.1848,1.1896,0.000143279,0.000135255,0.000135794
128,9311,8861,8625,1.3143,1.2395,1.2435,0.00015003,0.000141499,0.000141949
129,9279,8878,8817,1.3097,1.2419,1.2712,0.000149514,0.000141771,0.000145109
130,9228,8890,8854,1.3025,1.2436,1.2765,0.000148693,0.000141962,0.000145718
131,9121,8852,8661,1.2874,1.2383,1.2487,0.000146968,0.000141355,0.000142542
132,8877,8620,8722,1.2530,1.2058,1.2575,0.000143037,0.000137651,0.000143546
133,8789,8668,8590,1.2406,1.2125,1.2384,0.000141619,0.000138417,0.000141373
134,8634,8506,8374,1.2187,1.1899,1.2073,0.000139121,0.00013583,0.000137818
135,8597,8461,8262,1.2135,1.1836,1.1911,0.000138525,0.000135112,0.000135975
136,8778,8621,8383,1.2390,1.2060,1.2086,0.000141442,0.000137667,0.000137966
137,9268,9011,8919,1.3082,1.2605,1.2859,0.000149337,0.000143894,0.000146788
138,9387,9047,9003,1.3250,1.2656,1.2980,0.000151255,0.000144469,0.00014817
139,9058,8724,8769,1.2786,1.2204,1.2642,0.000145953,0.000139311,0.000144319
140,8574,8293,8393,1.2102,1.1601,1.2100,0.000138155,0.000132429,0.000138131
141,8313,8268,8070,1.1734,1.1566,1.1635,0.000133949,0.00013203,0.000132815
142,8128,8098,8150,1.1473,1.1328,1.1750,0.000130968,0.000129315,0.000134132
143,7732,7875,8099,1.0914,1.1016,1.1676,0.000124587,0.000125754,0.000133292
144,7543,7729,7850,1.0647,1.0812,1.1317,0.000121542,0.000123422,0.000129194
145,7511,7671,7722,1.0602,1.0731,1.1133,0.000121026,0.000122496,0.000127088
146,7350,7583,7523,1.0375,1.0608,1.0846,0.000118432,0.000121091,0.000123813
147,7419,7593,7376,1.0472,1.0622,1.0634,0.000119544,0.000121251,0.000121393
148,7340,7446,7404,1.0361,1.0416,1.0674,0.000118271,0.000118903,0.000121854
149,7535,7736,7515,1.0636,1.0822,1.0834,0.000121413,0.000123534,0.000123681
150,8239,8082,7037,1.1629,1.1306,1.0145,0.000132757,0.000129059,0.000115814
151,9094,8607,7155,1.2836,1.2040,1.0315,0.000146533,0.000137443,0.000117756
152,9537,9150,7493,1.3462,1.2800,1.0803,0.000153672,0.000146114,0.000123319
153,9518,9205,7810,1.3435,1.2877,1.1260,0.000153365,0.000146992,0.000128536
154,9495,9313,7896,1.3402,1.3028,1.1384,0.000152995,0.000148717,0.000129951
155,9426,9423,7817,1.3305,1.3181,1.1270,0.000151883,0.000150474,0.000128651
156,9116,9285,7943,1.2867,1.2988,1.1452,0.000146888,0.00014827,0.000130725
157,9014,9391,7978,1.2723,1.3137,1.1502,0.000145244,0.000149963,0.000131301
158,8856,9369,7977,1.2500,1.3106,1.1501,0.000142698,0.000149611,0.000131285
159,8756,9176,7845,1.2359,1.2836,1.1310,0.000141087,0.000146529,0.000129112
160,8915,9138,7961,1.2584,1.2783,1.1477,0.000143649,0.000145922,0.000131021
161,9387,9295,8379,1.3250,1.3002,1.2080,0.000151255,0.00014843,0.000137901
162,9463,9234,8345,1.3357,1.2917,1.2031,0.000152479,0.000147455,0.000137341
163,9119,8810,8070,1.2872,1.2324,1.1635,0.000146936,0.000140685,0.000132815
164,8622,8323,7758,1.2170,1.1643,1.1185,0.000138928,0.000132908,0.00012768
165,8289,8171,7427,1.1700,1.1430,1.0708,0.000133562,0.000130481,0.000122233
166,8077,8032,7419,1.1401,1.1236,1.0696,0.000130146,0.000128261,0.000122101
167,7685,7839,7335,1.0847,1.0966,1.0575,0.00012383,0.000125179,0.000120719
168,7565,7857,7142,1.0678,1.0991,1.0297,0.000121896,0.000125466,0.000117542
169,7480,7829,7062,1.0558,1.0952,1.0181,0.000120527,0.000125019,0.000116226
170,7356,7750,7124,1.0383,1.0841,1.0271,0.000118529,0.000123758,0.000117246
171,7242,7715,7291,1.0222,1.0792,1.0512,0.000116692,0.000123199,0.000119994
172,7060,7544,7092,0.9965,1.0553,1.0225,0.000113759,0.000120468,0.000116719
173,7416,7778,6969,1.0468,1.0880,1.0047,0.000119495,0.000124205,0.000114695
174,8113,7890,6771,1.1452,1.1037,0.9762,0.000130726,0.000125993,0.000111436
175,9037,8534,6677,1.2756,1.1938,0.9626,0.000145615,0.000136277,0.000109889
176,9434,9070,6566,1.3316,1.2688,0.9466,0.000152012,0.000144837,0.000108062
177,9405,9152,6807,1.3275,1.2802,0.9814,0.000151545,0.000146146,0.000112029
178,9390,9236,6977,1.3254,1.2920,1.0059,0.000151303,0.000147487,0.000114827
179,9310,9288,7018,1.3141,1.2993,1.0118,0.000150014,0.000148318,0.000115501
180,8904,9014,7189,1.2568,1.2609,1.0364,0.000143472,0.000143942,0.000118316
181,8845,9006,7044,1.2485,1.2598,1.0155,0.000142521,0.000143815,0.000115929
182,8737,8885,6886,1.2332,1.2429,0.9928,0.000140781,0.000141882,0.000113329
183,8671,8746,6900,1.2239,1.2234,0.9948,0.000139717,0.000139663,0.000113559
184,8819,8813,7073,1.2448,1.2328,1.0197,0.000142102,0.000140733,0.000116407
185,9169,9057,7726,1.2942,1.2669,1.1139,0.000147742,0.000144629,0.000127154
186,9226,9017,7984,1.3023,1.2614,1.1511,0.00014866,0.00014399,0.0001314
187,8822,8651,7861,1.2452,1.2102,1.1333,0.000142151,0.000138146,0.000129375
188,8381,8112,7544,1.1830,1.1348,1.0876,0.000135045,0.000129538,0.000124158
189,8016,7999,7229,1.1315,1.1190,1.0422,0.000129163,0.000127734,0.000118974
190,7787,7878,7118,1.0991,1.1020,1.0262,0.000125473,0.000125802,0.000117147
191,7343,7847,6898,1.0365,1.0977,0.9945,0.000118319,0.000125307,0.000113526
192,7074,7664,6869,0.9985,1.0721,0.9903,0.000113985,0.000122384,0.000113049
193,6937,7625,7134,0.9792,1.0666,1.0285,0.000111777,0.000121762,0.000117411
194,6845,7549,7451,0.9662,1.0560,1.0742,0.000110295,0.000120548,0.000122628
195,6771,7380,7573,0.9557,1.0324,1.0918,0.000109102,0.000117849,0.000124636
196,6728,7130,7576,0.9497,0.9974,1.0922,0.00010841,0.000113857,0.000124685
197,7063,7139,7355,0.9970,0.9986,1.0604,0.000113807,0.000114001,0.000121048
198,7833,7161,7847,1.1056,1.0017,1.1313,0.000126215,0.000114352,0.000129145
199,8750,6951,8686,1.2351,0.9723,1.2523,0.00014099,0.000110999,0.000142953
200,9244,7312,9156,1.3048,1.0228,1.3200,0.00014895,0.000116763,0.000150688
201,9248,7495,9226,1.3054,1.0484,1.3301,0.000149015,0.000119686,0.00015184
202,9302,7731,9269,1.3130,1.0815,1.3363,0.000149885,0.000123454,0.000152548
203,9399,7922,9194,1.3267,1.1082,1.3255,0.000151448,0.000126504,0.000151314
204,9085,8059,8975,1.2824,1.1273,1.2939,0.000146388,0.000128692,0.00014771
205,9014,8050,8946,1.2723,1.1261,1.2898,0.000145244,0.000128548,0.000147232
206,8929,7906,8892,1.2603,1.1059,1.2820,0.000143875,0.000126249,0.000146344
207,8758,7731,8867,1.2362,1.0815,1.2784,0.000141119,0.000123454,0.000145932
208,8791,7734,8977,1.2409,1.0819,1.2942,0.000141651,0.000123502,0.000147742
209,9036,8103,9214,1.2754,1.1335,1.3284,0.000145599,0.000129395,0.000151643
210,9005,8171,9226,1.2711,1.1430,1.3301,0.000145099,0.000130481,0.00015184
211,8590,7926,8835,1.2125,1.1087,1.2738,0.000138412,0.000126568,0.000145405
212,8058,7555,8309,1.1374,1.0568,1.1979,0.00012984,0.000120644,0.000136749
213,7721,7548,7865,1.0898,1.0559,1.1339,0.00012441,0.000120532,0.000129441
214,7600,7786,7706,1.0728,1.0892,1.1110,0.00012246,0.000124333,0.000126824
215,7169,7561,7528,1.0119,1.0577,1.0853,0.000115515,0.00012074,0.000123895
216,6822,7275,7309,0.9629,1.0177,1.0537,0.000109924,0.000116173,0.000120291
217,6725,7212,7258,0.9492,1.0089,1.0464,0.000108361,0.000115167,0.000119451
218,6662,7143,7457,0.9404,0.9992,1.0751,0.000107346,0.000114065,0.000122726
219,6608,6944,7682,0.9327,0.9714,1.1075,0.000106476,0.000110887,0.000126429
220,6413,6824,7608,0.9052,0.9546,1.0969,0.000103334,0.000108971,0.000125212
221,6488,6865,7572,0.9158,0.9603,1.0917,0.000104542,0.000109625,0.000124619
222,6617,6759,8053,0.9340,0.9455,1.1610,0.000106621,0.000107933,0.000132535
223,6405,6793,8812,0.9041,0.9502,1.2704,0.000103205,0.000108476,0.000145027
224,6797,7099,9277,0.9594,0.9931,1.3375,0.000109521,0.000113362,0.00015268
225,7063,7454,9307,0.9970,1.0427,1.3418,0.000113807,0.000119031,0.000153174
226,7116,7607,9396,1.0044,1.0641,1.3546,0.000114661,0.000121474,0.000154638
227,7100,7721,9335,1.0022,1.0801,1.3458,0.000114404,0.000123295,0.000153634
228,7054,7918,9127,0.9957,1.1076,1.3158,0.000113662,0.000126441,0.000150211
229,7240,7904,9198,1.0219,1.1057,1.3261,0.00011666,0.000126217,0.00015138
230,6986,7819,9140,0.9861,1.0938,1.3177,0.000112567,0.00012486,0.000150425
231,6999,7717,9017,0.9879,1.0795,1.3000,0.000112776,0.000123231,0.000148401
232,7063,7790,9018,0.9970,1.0897,1.3001,0.000113807,0.000124397,0.000148417
233,7683,7921,9233,1.0845,1.1080,1.3311,0.000123798,0.000126488,0.000151956
234,7902,8061,9216,1.1154,1.1276,1.3287,0.000127326,0.000128724,0.000151676
235,7491,7775,8840,1.0574,1.0876,1.2745,0.000120704,0.000124157,0.000145488
236,7101,7472,8354,1.0023,1.0452,1.2044,0.00011442,0.000119318,0.000137489
237,6882,7640,7958,0.9714,1.0687,1.1473,0.000110891,0.000122001,0.000130972
238,6870,7766,7763,0.9697,1.0864,1.1192,0.000110698,0.000124013,0.000127763
239,6730,7455,7456,0.9500,1.0429,1.0749,0.000108442,0.000119047,0.00012271
240,6450,7196,7598,0.9104,1.0066,1.0954,0.00010393,0.000114911,0.000125047
241,6426,7244,7715,0.9070,1.0133,1.1123,0.000103543,0.000115678,0.000126973
242,6471,7110,7726,0.9134,0.9946,1.1139,0.000104268,0.000113538,0.000127154
243,6415,7064,7672,0.9055,0.9882,1.1061,0.000103366,0.000112803,0.000126265
244,6315,7008,7251,0.8914,0.9803,1.0454,0.000101755,0.000111909,0.000119336
245,6444,7585,7192,0.9096,1.0610,1.0369,0.000103833,0.000121123,0.000118365
246,6450,7958,7911,0.9104,1.1132,1.1405,0.00010393,0.000127079,0.000130198
247,6461,8699,8727,0.9120,1.2169,1.2582,0.000104107,0.000138912,0.000143628
248,6727,9255,9195,0.9495,1.2946,1.3257,0.000108393,0.000147791,0.00015133
249,7120,9348,9188,1.0050,1.3077,1.3246,0.000114726,0.000149276,0.000151215
250,7231,9485,9186,1.0207,1.3268,1.3244,0.000116514,0.000151464,0.000151182
251,7323,9629,9080,1.0337,1.3470,1.3091,0.000117997,0.000153763,0.000149438
252,7374,9275,8862,1.0409,1.2974,1.2776,0.000118819,0.00014811,0.00014585
253,7331,9275,8822,1.0348,1.2974,1.2719,0.000118126,0.00014811,0.000145191
254,7212,9122,8736,1.0180,1.2760,1.2595,0.000116208,0.000145667,0.000143776
255,7112,8966,8726,1.0039,1.2542,1.2580,0.000114597,0.000143176,0.000143612
256,7080,8926,8842,0.9994,1.2486,1.2748,0.000114081,0.000142537,0.000145521
257,7763,9225,9077,1.0958,1.2905,1.3086,0.000125087,0.000147312,0.000149388
258,8068,9232,9127,1.1388,1.2914,1.3158,0.000130001,0.000147423,0.000150211
259,7946,8849,8715,1.1216,1.2379,1.2565,0.000128035,0.000141307,0.00014343
260,7497,8380,8235,1.0582,1.1722,1.1872,0.000120801,0.000133818,0.000135531
261,7218,8045,7775,1.0188,1.1254,1.1209,0.000116305,0.000128469,0.00012796
262,7207,8077,7485,1.0173,1.1299,1.0791,0.000116128,0.00012898,0.000123187
263,7007,7609,7141,0.9890,1.0644,1.0295,0.000112905,0.000121506,0.000117526
264,7251,7625,7010,1.0235,1.0666,1.0106,0.000116837,0.000121762,0.00011537
265,7247,7627,6884,1.0229,1.0669,0.9925,0.000116772,0.000121794,0.000113296
266,7186,7564,6813,1.0143,1.0581,0.9822,0.000115789,0.000120788,0.000112128
267,7093,7552,7049,1.0012,1.0564,1.0163,0.000114291,0.000120596,0.000116012
268,7135,7399,6939,1.0071,1.0350,1.0004,0.000114968,0.000118153,0.000114201
269,7441,7728,6992,1.0503,1.0810,1.0080,0.000119898,0.000123406,0.000115074
270,7988,7904,7720,1.1275,1.1057,1.1130,0.000128712,0.000126217,0.000127055
271,8916,8859,8570,1.2585,1.2393,1.2355,0.000143665,0.000141467,0.000141044
272,9412,9407,9034,1.3285,1.3159,1.3024,0.000151657,0.000150218,0.000148681
273,9401,9460,9114,1.3270,1.3233,1.3140,0.00015148,0.000151064,0.000149997
274,9350,9552,9191,1.3198,1.3362,1.3251,0.000150658,0.000152533,0.000151264
275,9345,9562,9151,1.3191,1.3376,1.3193,0.000150578,0.000152693,0.000150606
276,8927,9154,8824,1.2601,1.2805,1.2722,0.000143842,0.000146178,0.000145224
277,8947,9134,8855,1.2629,1.2777,1.2766,0.000144165,0.000145859,0.000145735
278,8829,9040,8799,1.2462,1.2646,1.2686,0.000142263,0.000144357,0.000144813
279,8776,8979,8743,1.2387,1.2560,1.2605,0.000141409,0.000143383,0.000143891
280,8848,9117,8826,1.2489,1.2753,1.2725,0.00014257,0.000145587,0.000145257
281,9209,9388,9035,1.2999,1.3133,1.3026,0.000148386,0.000149915,0.000148697
282,9375,9400,8981,1.3233,1.3149,1.2948,0.000151061,0.000150106,0.000147808
283,9007,9013,8670,1.2714,1.2608,1.2500,0.000145132,0.000143926,0.00014269
284,8478,8489,8459,1.1967,1.1875,1.2195,0.000136608,0.000135559,0.000139217
285,8181,8157,7968,1.1548,1.1411,1.1488,0.000131822,0.000130257,0.000131136
286,7941,8055,7793,1.1209,1.1268,1.1235,0.000127955,0.000128628,0.000128256
287,7527,7894,7392,1.0624,1.1043,1.0657,0.000121284,0.000126057,0.000121657
288,7383,7899,7593,1.0421,1.1050,1.0947,0.000118964,0.000126137,0.000124965
289,7309,7688,7620,1.0317,1.0754,1.0986,0.000117771,0.000122768,0.000125409
290,7231,7571,7730,1.0207,1.0591,1.1144,0.000116514,0.000120899,0.000127219
291,7149,7494,7730,1.0091,1.0483,1.1144,0.000115193,0.00011967,0.000127219
292,7128,7427,7655,1.0061,1.0389,1.1036,0.000114855,0.0001186,0.000125985
293,7353,7865,7782,1.0379,1.1002,1.1219,0.00011848,0.000125594,0.000128075
294,8174,8191,7998,1.1538,1.1458,1.1531,0.000131709,0.0001308,0.00013163
295,9118,9069,8695,1.2870,1.2686,1.2536,0.00014692,0.000144821,0.000143101
296,9498,9585,9193,1.3407,1.3408,1.3254,0.000153043,0.00015306,0.000151297
297,9406,9658,9266,1.3277,1.3510,1.3359,0.000151561,0.000154226,0.000152499
298,9328,9671,9367,1.3167,1.3528,1.3505,0.000150304,0.000154434,0.000154161
299,9229,9680,9225,1.3027,1.3541,1.3300,0.000148709,0.000154577,0.000151824
300,8742,9376,9073,1.2339,1.3116,1.3081,0.000140862,0.000149723,0.000149322
301,8684,9340,9105,1.2258,1.3065,1.3127,0.000139927,0.000149148,0.000149849
302,8558,9212,8955,1.2080,1.2886,1.2911,0.000137897,0.000147104,0.00014738
303,8486,9118,8809,1.1978,1.2755,1.2700,0.000136737,0.000145603,0.000144978
304,8582,9129,8776,1.2114,1.2770,1.2652,0.000138283,0.000145779,0.000144434
305,8983,9433,9040,1.2680,1.3195,1.3033,0.000144745,0.000150633,0.000148779
306,9178,9528,9047,1.2955,1.3328,1.3043,0.000147887,0.00015215,0.000148894
307,8736,9204,8733,1.2331,1.2875,1.2590,0.000140765,0.000146976,0.000143727
308,8244,8723,8280,1.1637,1.2202,1.1937,0.000132837,0.000139295,0.000136271
309,7955,8349,7865,1.1229,1.1679,1.1339,0.00012818,0.000133323,0.000129441
310,7703,8329,7767,1.0873,1.1651,1.1198,0.00012412,0.000133004,0.000127828
311,7189,7849,7752,1.0147,1.0980,1.1176,0.000115838,0.000125339,0.000127582
312,6943,7938,8319,0.9800,1.1104,1.1994,0.000111874,0.00012676,0.000136913
313,6796,7943,8255,0.9593,1.1111,1.1901,0.000109505,0.00012684,0.00013586
314,6745,8062,8166,0.9521,1.1278,1.1773,0.000108683,0.00012874,0.000134395
315,6711,7972,8021,0.9473,1.1152,1.1564,0.000108136,0.000127303,0.000132009
