Hour,Export [MW],,,Import [MW],,,Export [MW/MWmax],,,Import [MW/MWmax],,
63,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
64,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
65,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
66,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
67,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
68,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
69,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
70,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
71,1200,5200,5200,512,936,1600,0.230769231,1,1,0.16,0.2925,0.5
72,2224,5200,5200,1536,936,1600,0.427692308,1,1,0.48,0.2925,0.5
73,2224,5200,5200,1536,936,1600,0.427692308,1,1,0.48,0.2925,0.5
74,2000,5200,5200,1536,936,1600,0.384615385,1,1,0.48,0.2925,0.5
75,2000,5200,5200,1536,936,1600,0.384615385,1,1,0.48,0.2925,0.5
76,2000,5200,5200,1536,936,1600,0.384615385,1,1,0.48,0.2925,0.5
77,2000,5200,5200,1536,936,1600,0.384615385,1,1,0.48,0.2925,0.5
78,2000,5200,5200,1536,1436,1600,0.384615385,1,1,0.48,0.44875,0.5
79,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
80,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
81,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
82,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
83,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
84,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
85,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
86,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
87,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
88,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
89,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
90,2000,5200,5200,1536,1936,1600,0.384615385,1,1,0.48,0.605,0.5
91,2224,5200,5200,1536,1936,1600,0.427692308,1,1,0.48,0.605,0.5
92,2224,5200,5200,1536,1936,1600,0.427692308,1,1,0.48,0.605,0.5
93,2224,5200,5200,1536,1936,1600,0.427692308,1,1,0.48,0.605,0.5
94,2224,5200,5200,1536,1436,1600,0.427692308,1,1,0.48,0.44875,0.5
95,2224,5200,5200,1536,936,1600,0.427692308,1,1,0.48,0.2925,0.5
96,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
97,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
98,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
99,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
100,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
101,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
102,2224,5200,5200,1536,936,2000,0.427692308,1,1,0.48,0.2925,0.625
103,2361,5200,5200,1736,936,2200,0.454038462,1,1,0.5425,0.2925,0.6875
104,2361,5200,5200,1736,936,2200,0.454038462,1,1,0.5425,0.2925,0.6875
105,2361,5200,5200,1736,936,2200,0.454038462,1,1,0.5425,0.2925,0.6875
106,2361,5200,5200,1736,936,2200,0.454038462,1,1,0.5425,0.2925,0.6875
107,2361,5200,5200,1736,936,2200,0.454038462,1,1,0.5425,0.2925,0.6875
108,2361,5200,5200,1736,936,2800,0.454038462,1,1,0.5425,0.2925,0.875
109,2361,5200,5200,1736,936,2800,0.454038462,1,1,0.5425,0.2925,0.875
110,2361,5200,5200,1736,936,2800,0.454038462,1,1,0.5425,0.2925,0.875
111,2361,5200,5200,1736,936,2800,0.454038462,1,1,0.5425,0.2925,0.875
112,2361,5200,5200,1736,936,2800,0.454038462,1,1,0.5425,0.2925,0.875
113,2361,5200,5200,1736,936,2800,0.454038462,1,1,0.5425,0.2925,0.875
114,2361,5200,5200,1736,1236,2800,0.454038462,1,1,0.5425,0.38625,0.875
115,2361,5200,5200,1736,1836,2800,0.454038462,1,1,0.5425,0.57375,0.875
116,2361,5200,5200,1736,1836,3000,0.454038462,1,1,0.5425,0.57375,0.9375
117,2361,5200,5200,1736,1736,3000,0.454038462,1,1,0.5425,0.5425,0.9375
118,2224,5200,5200,1536,1336,3000,0.427692308,1,1,0.48,0.4175,0.9375
119,2224,5200,5200,1536,936,3000,0.427692308,1,1,0.48,0.2925,0.9375
120,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
121,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
122,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
123,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
